time,open,high,low,close,EMA,SMMA,Volume,Bollinger Bars Wicks (Open),Bollinger Bars Wicks (High,Bollinger Bars Wicks (Low),Bollinger Bars Wicks (Close),Bollinger Bars Body (Open),Bollinger Bars Body (High,Bollinger Bars Body (Low),Bollinger Bars Body (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,OnBalanceVolume,ATR
1726696800,4.44,4.5,4.44,4.5,4.332827985231242,4.313603170783018,244083,4.5,4.5,4.44,4.44,4.44,4.5,4.44,4.5,65.26783827477874,50.401954768385245,NaN,NaN,NaN,NaN,0.023013531534633272,0.024316664654072895,0.0013031331194396237,-13285600,0.07377088880598136
1726783200,4.5,4.56,4.49,4.5,4.366262388184994,4.3402312892425865,111103,4.56,4.56,4.49,4.49,4.5,4.56,4.49,4.5,65.26783827477875,51.88773930422274,NaN,NaN,NaN,NaN,0.02863967000835671,0.03710272062988551,0.0084630506215288,-13285600,0.07350153960555407
1727042400,4.45,4.6,4.42,4.6,4.413009910547995,4.3773411050650735,55875,4.6,4.6,4.42,4.42,4.45,4.6,4.42,4.6,70.00450047183715,53.797358391847276,NaN,NaN,NaN,NaN,0.036969296145327,0.05467467080318755,0.017705374657860554,-13229725,0.08110857249087162
1727128800,4.58,4.6,4.58,4.59,4.448407928438396,4.4077209471986345,123388,4.6,4.6,4.58,4.58,4.58,4.6,4.58,4.59,68.99124429488351,55.52043912418541,NaN,NaN,NaN,NaN,0.03945255968422788,0.06702107426314541,0.027568514578917527,-13353113,0.07674367445580933
1727215200,4.56,4.58,4.46,4.57,4.4727263427507165,4.430903669027401,36097,4.58,4.58,4.46,4.46,4.56,4.58,4.46,4.57,66.90545932040229,56.86924430565091,NaN,NaN,NaN,NaN,0.037413162629287365,0.07433496786552674,0.03692180523623937,-13389210,0.08054769770896579
1727301600,4.57,4.57,4.55,4.55,4.488181074200573,4.447917430594916,31663,4.57,4.57,4.55,4.55,4.57,4.57,4.55,4.55,64.79582461484725,58.01104354947402,NaN,NaN,NaN,NaN,0.032560685930650084,0.07762266264955198,0.04506197671890189,-13420873,0.07622286215832541
1727388000,4.5,4.5,4.45,4.45,4.480544859360458,4.448214940509927,22641,4.5,4.5,4.45,4.45,4.5,4.5,4.45,4.45,55.391205534976685,58.69492818997004,NaN,NaN,NaN,NaN,0.02101977476163403,0.07133669517094443,0.0503169204093104,-13443514,0.07792122914701642
1727643600,4.5,4.5,4.4,4.45,4.474435887488367,4.4484699490085085,124888,4.5,4.5,4.4,4.4,4.5,4.5,4.4,4.45,55.391205534976685,58.92719177361199,NaN,NaN,NaN,NaN,0.012225534140244812,0.06559883808461642,0.053373303944371606,-13443514,0.07949828420794379
1727730000,4.5,4.5,4.5,4.5,4.479548709990693,4.455831384864436,49689,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,58.85425349197113,59.3539455453474,NaN,NaN,NaN,NaN,0.0087768807570313,0.06434440489066073,0.055567524133629434,-13393825,0.07739126390737637
1727816400,4.5,4.54,4.46,4.54,4.491638967992555,4.467855472740945,21263,4.54,4.54,4.46,4.46,4.5,4.54,4.46,4.54,61.43366736953253,60.25530533605034,NaN,NaN,NaN,NaN,0.008201341077646418,0.06581920048068746,0.05761785940304104,-13372562,0.07757760219970664
